"YEAR","FIRMNAME","fivefirmid","FIRMID","CUSIPHEADERID","CUSIPHeaderName","CUSIPHISTORYID","CUSIPHistoryName","productname","PRODUCTID","OS","CPU","BUS","MHZ","RAM","HD","MONITOR","PRICE"
1995,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd15r",748,11,9,7,,20000,,0,1495
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation fx15c",384,7,15,7,,132000,40,0,1499
1992,"Human Designed Systems, Inc.",80,80,,,,,"hds viewstation vx15",411,0,0,7,,9000,,0,1499
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation fx19",391,7,15,7,,132000,40,0,1499
1993,"ASC systems",13,13,,,,,"pc cad/graphix system",808,0,0,7,,16000,240,0,1550
1991,"ASC systems",13,13,,,,,"pc cad/graphix system",808,0,0,7,,16000,240,0,1550
1994,"ASC systems",13,13,,,,,"pc cad/graphix system",808,0,0,7,,16000,240,0,1550
1992,"ASC systems",13,13,,,,,"pc cad/graphix system",808,0,0,7,,16000,240,0,1550
1996,"Hewlett-Packard Co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp aptrex 19m",519,1,0,7,,68000,,0,1595
1995,"phase x systems, inc.",128,128,,,,,"phase x px17c",848,11,34,7,,18000,,0,1595
1996,"graphon corp.",76,76,,,,,"graphon 19s",362,1,22,7,,640,,0,1595
1995,"Hewlett-Packard Co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp aptrex 19m",519,1,0,7,,68000,,0,1595
1996,"cail systems",31,31,,,,,"cail viewstation fx19",119,11,15,7,,72000,,0,1599
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation fx19",391,7,15,7,,132000,40,0,1599
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation lx17c",398,7,15,7,,132000,40,0,1599
1995,"cail systems",31,31,,,,,"cail viewstation fx19",119,11,15,7,,72000,,0,1599
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation lx17c",398,7,15,7,,132000,40,0,1599
1996,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp aptrex 15c",515,1,15,7,,68000,,0,1650
1995,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp aptrex 15c",515,1,15,7,,68000,,0,1650
1995,"phase x systems, inc.",128,128,,,,,"phase x 19me",840,11,9,7,,52000,,0,1695
1995,"phase x systems, inc.",128,128,,,,,"phase x px19me",853,11,34,7,,52000,,0,1695
1994,"human designed systems, inc.",80,80,,,,,"hds viewstation fx19",391,7,15,7,,68000,,0,1699
1992,"human designed systems, inc.",80,80,,,,,"hds v15",371,7,46,7,,9000,,0,1699
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation lx17ch",399,7,15,7,,132000,40,0,1699
1993,"human designed systems, inc.",80,80,,,,,"hds viewstation fx19",391,7,15,7,,68000,,0,1699
1995,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ecx14",321,11,19,7,,36000,,0,1795
1996,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ecx14",321,11,19,7,,36000,,0,1795
1995,"phase x systems, inc.",128,128,,,,,"phase x px17ca1",849,11,34,7,,16000,,0,1795
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation ultra 14c",402,1,15,7,,132000,40,0,1799
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation ultra 14c",402,1,15,7,,132000,40,0,1799
1993,"IBM",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 xstation 120",953,1,0,9,,8500,,1,1800
1992,"IBM",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 xstation 120",953,1,0,9,,8500,,1,1800
1993,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd15r",748,11,9,7,,20000,,0,1895
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation ultra 15c",403,1,15,7,,132000,40,0,1899
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation ultra 15c",403,1,15,7,,132000,40,0,1899
1990,"ASC systems",13,13,,,,,"pc cad/graphix system",808,0,0,7,,16000,240,0,1950
1995,"phase x systems, inc.",128,128,,,,,"phase x px14ce1",844,11,32,7,,52000,,0,1995
1995,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd19r",760,11,9,7,,20000,,0,1995
1995,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ecx15",322,11,19,7,,70000,,0,1995
1995,"phase x systems, inc.",128,128,,,,,"phase x 14ce1",835,11,9,7,,52000,,0,1995
1996,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ecx15",322,11,19,7,,70000,,0,1995
1996,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd19r",760,11,9,7,,20000,,0,1995
1994,"human designed systems, inc.",80,80,,,,,"hds viewstation fx17c",388,7,15,7,,4000,,0,1999
1991,"Human Designed Systems, Inc.",80,80,,,,,"hds viewstation",375,0,0,7,,9000,,0,1999
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation fx17c",388,7,15,7,,132000,40,0,1999
1996,"cail systems",31,31,,,,,"cail viewstation fx17c",118,11,15,7,,72000,,0,1999
1991,"human designed systems, inc.",80,80,,,,,"hds vs14",414,7,31,7,,5000,,0,1999
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation fx17c",388,7,15,7,,132000,40,0,1999
1995,"cail systems",31,31,,,,,"cail viewstation fx17c",118,11,15,7,,72000,,0,1999
1994,"MC2 Computer Corp.",105,105,,,,,"mc2 486dx graphics series",680,0,0,7,,128000,2000,0,1999
1990,"Human Designed Systems, Inc.",80,80,,,,,"hds viewstation",375,0,0,7,,9000,,0,1999
1995,"MC2 Computer Corp.",105,105,,,,,"mc2 486dx graphics series",680,0,0,7,,128000,2000,0,1999
1990,"Datamedia Corp.",52,52,,,,,"colorscan/2",165,0,0,7,,780,,0,2000
1988,"Datamedia Corp.",52,52,,,,,"colorscan/2",165,0,0,7,,780,,0,2000
1989,"Datamedia Corp.",52,52,,,,,"colorscan/2",165,0,0,7,,780,,0,2000
1991,"human designed systems, inc.",80,80,,,,,"hds viewstation plus",401,7,31,7,,10000,,0,2000
1996,"Integrix, Inc.",88,88,,,,,"sws2",1158,0,0,2,40,32000,535,0,2095
1995,"Wyse Technology, Inc.",168,168,,,,,"wx-17m",1260,0,0,7,,4000,,1,2095
1993,"Digital Equipment Corp. (DEC)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","vaxstation 4000-60",1206,1,0,7,,8000,208,1,2095
1994,"human designed systems, inc.",80,80,,,,,"hds viewstation fx16c",385,7,15,7,,68000,,0,2099
1993,"human designed systems, inc.",80,80,,,,,"hds viewstation fx16c",385,7,15,7,,68000,,0,2099
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation fx17ch",389,7,15,7,,132000,40,0,2099
1995,"phase x systems, inc.",128,128,,,,,"phase x 15ce1",836,11,9,7,,52000,,0,2195
1995,"phase x systems, inc.",128,128,,,,,"phase x px15ce1",847,11,32,7,,52000,,0,2195
1995,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp aptrex 17c",516,1,15,7,,68000,,0,2200
1996,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp aptrex 17c",516,1,15,7,,68000,,0,2200
1991,"IBM",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 xstation 120",953,1,0,9,,8500,,1,2200
1994,"IBM",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 xstation 130",954,1,0,9,,8500,30,1,2250
1996,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp envizex station model 19gp",532,11,15,7,,102000,,0,2290
1995,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp envizex station model 14ci",521,11,15,7,,32000,,0,2290
1996,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp envizex station model 14ci",521,11,15,7,,32000,,0,2290
1992,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd19b",757,11,22,7,,5000,,0,2295
1995,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","mcx1",686,11,19,7,,70000,,0,2295
1991,"Network Computing Devices, Inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd19b",757,0,0,7,,5000,,0,2295
1994,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 xstation 140",955,10,32,9,,68000,30,1,2295
1994,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","mcx1",686,11,19,7,,70000,,0,2295
1993,"human designed systems, inc.",80,80,,,,,"hds viewstation fx17ct",390,7,15,7,,4000,,0,2299
1993,"human designed systems, inc.",80,80,,,,,"hds viewstation fx16c+",386,7,15,7,,72000,,0,2299
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation fx17ct",390,7,15,7,,132000,40,0,2299
1994,"human designed systems, inc.",80,80,,,,,"hds viewstation fx17ct",390,7,15,7,,4000,,0,2299
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation fx17ct",390,7,15,7,,132000,40,0,2299
1994,"human designed systems, inc.",80,80,,,,,"hds viewstation fx16c+",386,7,15,7,,72000,,0,2299
1995,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp envizex station model 15ci",523,11,15,7,,32000,,0,2390
1996,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp envizex station model 15ci",523,11,15,7,,32000,,0,2390
1995,"wyse technology, inc.",168,168,,,,,"wx-15c",1256,11,9,7,,4000,,1,2395
1995,"wyse technology, inc.",168,168,,,,,"wx-19m",1263,11,9,7,,4000,,1,2395
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation ultra 17c",404,1,15,7,,132000,40,0,2399
1992,"human designed systems, inc.",80,80,,,,,"hds viewstation vx19",412,7,46,7,,9000,,0,2399
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation ultra 17c",404,1,15,7,,132000,40,0,2399
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation lx19c",400,7,15,7,,132000,40,0,2399
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation lx19c",400,7,15,7,,132000,40,0,2399
1995,"Sun Microsystems Computer Co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcclassic x",1024,1,0,2,,96000,,0,2445
1994,"Hewlett-Packard Co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 700/rx model 14ci",430,1,0,7,,18000,,0,2495
1995,"phase x systems, inc.",128,128,,,,,"phase x px19ge",851,11,34,7,,52000,,0,2495
1994,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 700/rx model 19mi",440,9,15,7,,18000,,0,2495
1995,"phase x systems, inc.",128,128,,,,,"phase x 17ce1",837,11,9,7,,52000,,0,2495
1995,"Integrix, Inc.",88,88,,,,,"sws2",1158,0,0,2,40,32000,535,0,2495
1995,"phase x systems, inc.",128,128,,,,,"phase x px17ca2",850,11,34,7,,16000,,0,2495
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation ultra 17ch",405,1,15,7,,132000,40,0,2499
1992,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","5080 model 16, 19",8,10,41,7,,1500,,1,2500
1993,"NCR Corp.",113,113,"62886E10","NCR CORP","62886210","NCR CORP","ncr xle x-station xl15c",764,1,0,7,,4000,,0,2500
1992,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","6090 graphics system",13,10,41,7,,1500,,1,2500
1991,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","6090 graphics system",13,10,41,7,,1500,,1,2500
1993,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","5080 model 16, 19",8,10,41,7,,1500,,1,2500
1993,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","6090 graphics system",13,10,41,7,,1500,,1,2500
1991,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","5080 model 16, 19",8,10,41,7,,1500,,1,2500
1993,"Bull HN Information Systems, Inc.",29,29,"43850610","HONEYWELL INC","43850610","HONEYWELL INC","ndx 1600",770,0,0,7,,2000,,0,2500
1991,"Bull HN Information Systems, Inc.",29,29,"43850610","HONEYWELL INC","43850610","HONEYWELL INC","ndx 1600",770,1,0,7,,2000,,1,2500
1992,"NCR Corp.",113,113,"62886E10","NCR CORP","62886210","NCR CORP","ncr xle x-station xl15e",766,1,0,7,,4000,,0,2500
1992,"Bull HN Information Systems, Inc.",29,29,"43850610","HONEYWELL INC","43850610","HONEYWELL INC","ndx 1600",770,1,0,7,,2000,,0,2500
1994,"Sun Microsystems Computer Co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcclassic x",1024,1,0,2,,96000,,0,2545
1990,"Network Computing Devices, Inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd16",750,0,0,7,,4500,,0,2550
1992,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd16",750,11,22,7,,4500,,0,2550
1991,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd16",750,11,22,7,,4500,,0,2550
1995,"phase x systems, inc.",128,128,,,,,"phase x px20ca2",855,11,34,7,,16000,,0,2595
1992,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd16e",751,11,16,7,,8000,,0,2595
1996,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ecx17",323,11,19,7,,36000,,0,2595
1995,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ecx17",323,11,19,7,,36000,,0,2595
1993,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 xstation 130",954,10,31,9,,8500,30,1,2650
1992,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 xstation 130",954,10,31,9,,8500,30,1,2650
1991,"Hewlett-Packard Co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 700/x family",441,1,0,7,,8000,,1,2695
1995,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd19g",759,11,19,7,,60000,,0,2695
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation ultra 17ct",406,1,15,7,,132000,40,0,2699
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation fx19ci",393,7,15,7,,132000,40,0,2699
1992,"human designed systems, inc.",80,80,,,,,"hds viewstation vx19+",413,7,46,7,,9000,,0,2699
1996,"cail systems",31,31,,,,,"cail viewstation fx19c",120,11,15,7,,72000,,0,2699
1995,"cail systems",31,31,,,,,"cail viewstation fx19c",120,11,15,7,,72000,,0,2699
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation fx19ci",393,7,15,7,,132000,40,0,2699
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation ultra 17ct",406,1,15,7,,132000,40,0,2699
1995,"integrix, inc.",88,88,,,,,"sws2+",1159,2,1,2,50,32000,,0,2795
1996,"IBM",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","power series 830-100",877,1,0,3,100,16000,540,1,2795
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation dual fx14c",376,7,15,7,,132000,40,0,2799
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation dual fx14c",376,7,15,7,,132000,40,0,2799
1996,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp aptrex 17cs",517,1,15,7,,68000,,0,2800
1995,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp aptrex 17cs",517,1,15,7,,68000,,0,2800
1995,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp envizex station model 15ca",522,11,15,7,,32000,,0,2890
1996,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp envizex station model 15ca",522,11,15,7,,32000,,0,2890
1993,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd19r",760,11,9,7,,20000,,0,2895
1996,"integrix, inc.",88,88,,,,,"sws5/85",1165,2,5,2,85,16000,,0,2895
1994,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd19r",760,11,9,7,,20000,,0,2895
1991,"human designed systems, inc.",80,80,,,,,"hds vs16",416,7,31,7,,9000,,0,2899
1992,"human designed systems, inc.",80,80,,,,,"hds v19+",372,7,46,7,,9000,,0,2899
1995,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp envizex station model 19ga",531,11,15,7,,32000,,0,2990
1996,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp envizex station model 19ga",531,11,15,7,,32000,,0,2990
1993,"Hewlett-Packard Co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 700/rx model 19mi",440,1,0,7,,18000,,1,2995
1992,"Hewlett-Packard Co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 700/rx model 19mi",440,1,0,7,,18000,,1,2995
1993,"Integrix, Inc.",88,88,,,,,"ss2",1089,0,0,2,40,2000,,0,2995
1996,"Intergraph Corp.",90,90,"45868310","INTERGRAPH CORP","45868310","INTERGRAPH CORP","intergraph td-10",573,1,0,8,,64000,540,1,2995
1995,"Sanar Systems, Inc.",139,139,,,,,"sanar micro sa5/85",965,0,0,2,85,8000,,0,2995
1996,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","hmx 17",421,11,10,7,,136000,,0,2995
1995,"phase x systems, inc.",128,128,,,,,"phase x 20ce2t",842,11,9,7,,52000,,0,2995
1994,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 700/rx model 15ci",431,9,15,7,,18000,,0,2995
1993,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 700/rx model 14ci",430,9,15,7,,18000,,0,2995
1995,"phase x systems, inc.",128,128,,,,,"phase x 17ce2",838,11,9,7,,52000,,0,2995
1994,"human designed systems, inc.",80,80,,,,,"hds viewstation fx19ci",393,7,15,7,,72000,,0,2999
1993,"human designed systems, inc.",80,80,,,,,"hds viewstation fx19cl",394,7,15,7,,72000,,0,2999
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation dual fx15c",377,7,15,7,,132000,40,0,2999
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation dual fx15c",377,7,15,7,,132000,40,0,2999
1991,"human designed systems, inc.",80,80,,,,,"hds vs14c",415,7,31,7,,9000,,0,2999
1994,"human designed systems, inc.",80,80,,,,,"hds viewstation fx19cl",394,7,15,7,,72000,,0,2999
1992,"human designed systems, inc.",80,80,,,,,"hds viewstation v14c",409,7,46,7,,9000,,0,2999
1992,"Atari",17,17,,,,,"tt030",1177,0,0,1,16,26000,,0,3000
1991,"Atari",17,17,,,,,"tt030",1177,0,0,1,16,26000,,0,3000
1995,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp aptrex 19ch",518,1,15,7,,68000,,0,3000
1992,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd14c",746,11,16,7,,32000,,0,3000
1993,"Atari",17,17,,,,,"tt030",1177,0,0,1,16,26000,,0,3000
