YEAR,FIRMNAME,FIVEFIRMID,FIRMID,CUSIPHEADERID,CUSIPHeaderName,CUSIPHISTORYID,CUSIPHistoryName,FOUND,FATE,ESTATE,SALES,EMPLOY,ZIP,LAT,LON,RANDD,PRODUCTS,PTYPES,SYSTEM,GRAPHIC,CEO,OWN,CPU,OS,APPS,COMM,MONITOR,DISK,MEMORY,BOARD
1991,Alliant Computer Systems Corp.,7,7,1880010,ALLIANT COMPUTER SYSTEMS CP,1880010,ALLIANT COMPUTER SYSTEMS CP,1982,,1,43824000,244,1460,0.7424650192260740,-1.247694969177250,7686000,12,3,0,1,Craig J. Mundie,1,0,0,1,0,0,0,0,0
1989,"Alpharel, Inc.",8,8,29372R10,ENTERPRISE INFORMATICS INC,2079910,ALPHAREL INC,1981,,0,4378000,31,93010,0.597449004650116,-2.0777499675750700,3124000,0,3,0,1,John Faching,1,0,0,1,0,0,0,0,0
1990,"Alpharel, Inc.",8,8,29372R10,ENTERPRISE INFORMATICS INC,2079910,ALPHAREL INC,1981,,0,5344000,31,93010,0.597449004650116,-2.0777499675750700,644000,2,3,0,1,John Faching,1,0,0,1,0,0,0,0,0
1991,"Alpharel, Inc.",8,8,29372R10,ENTERPRISE INFORMATICS INC,2079910,ALPHAREL INC,1981,,0,6583000,31,93010,0.597449004650116,-2.0777499675750700,1000000,2,3,0,1,Roger H. Erickson,1,0,0,1,0,0,0,0,0
1992,"Alpharel, Inc.",8,8,29372R10,ENTERPRISE INFORMATICS INC,2079910,ALPHAREL INC,1981,,0,6273000,42,93010,0.597449004650116,-2.0777499675750700,435000,2,3,0,1,Roger H. Erickson,1,0,0,1,0,0,0,0,0
1993,"Alpharel, Inc.",8,8,29372R10,ENTERPRISE INFORMATICS INC,2079910,ALPHAREL INC,1981,,0,8354000,85,92121,0.574072003364563,-2.0455870628356900,1108000,5,3,0,1,Robert Bruce,1,0,0,1,0,0,0,0,0
1994,"Alpharel, Inc.",8,8,29372R10,ENTERPRISE INFORMATICS INC,2079910,ALPHAREL INC,1981,,0,9547000,85,92121,0.574072003364563,-2.0455870628356900,769000,9,2,0,1,Stephen P. Gardner,1,0,0,1,0,0,0,0,0
1995,"Alpharel, Inc.",8,8,29372R10,ENTERPRISE INFORMATICS INC,2079910,ALPHAREL INC,1981,,0,12731000,193,92121,0.574072003364563,-2.0455870628356900,1402000,7,3,0,1,Stephen P. Gardner,1,0,0,1,0,0,0,0,0
1996,"Alpharel, Inc.",8,8,29372R10,ENTERPRISE INFORMATICS INC,2079910,ALPHAREL INC,1981,,0,24000000,193,92121,0.574072003364563,-2.0455870628356900,,7,3,0,1,Stephen P. Gardner,1,0,0,1,0,0,0,0,0
1994,"Apogee Systems, Inc.",9,9,,,,,1991,,0,1,,32301,0.5310789942741390,-1.4706029891967800,,5,1,1,0,John Wilkins,0,0,0,1,0,0,0,0,0
1995,"Apogee Systems, Inc.",9,9,,,,,1991,,1,1,,32301,0.5310789942741390,-1.4706029891967800,,5,1,1,0,John Wilkins,0,0,0,1,0,0,0,0,0
1980,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1980,,0,0,46,1824,0.7433980107307430,-1.2454240322113000,,0,0,1,0,John William Poduska,0,0,1,1,0,0,0,0,0
1981,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1980,,0,3400000,156,1824,0.7433980107307430,-1.2454240322113000,,0,2,1,0,John William Poduska,0,1,1,1,1,0,0,0,0
1982,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1980,,0,18099000,427,1824,0.7433980107307430,-1.2454240322113000,3005000,0,2,1,0,John William Poduska,0,1,1,1,1,0,0,0,0
1983,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1980,,0,80659000,1197,1824,0.7433980107307430,-1.2454240322113000,10167000,0,3,1,1,John William Poduska,0,1,1,1,1,0,0,0,0
1984,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1980,,0,215930000,3021,1824,0.7433980107307430,-1.2454240322113000,25571000,0,2,1,0,Charles P. Spector,1,0,1,1,1,0,0,0,0
1985,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1980,,0,295575008,3275,1824,0.7433980107307430,-1.2454240322113000,41541000,0,3,1,0,Charles P. Spector,1,0,1,1,1,0,0,0,0
1986,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1980,,0,391684992,3577,1824,0.7433980107307430,-1.2454240322113000,49417000,0,4,1,0,Thomas A. Vanderslice,1,0,1,1,1,0,1,0,0
1987,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1980,Acquired by HP,2,553660032,3992,1824,0.7433980107307430,-1.2454240322113000,67071000,0,8,1,1,Thomas A. Vanderslice,1,1,1,1,1,0,1,0,1
1988,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1939,,0,669636800,4000,1824,0.7433980107307430,-1.2454240322113000,,0,8,1,1,Thomas A. Vanderslice,2,1,1,1,1,0,1,0,1
1989,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1939,,0,810874240,3992,1824,0.7433980107307430,-1.2454240322113000,,16,8,1,1,Thomas A. Vanderslice,2,1,1,1,1,0,1,0,1
1990,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1939,,0,981900928,,1824,0.7433980107307430,-1.2454240322113000,,17,9,1,1,Thomas A. Vanderslice,2,1,1,1,1,0,0,0,1
1991,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1939,,0,11898999808,,1824,0.7433980107307430,-1.2454240322113000,,15,7,1,1,Thomas A. Vanderslice,2,1,1,1,1,0,0,0,0
1992,"Apollo Computer, Inc.",10,10,3790410,APOLLO COMPUTER INC,3790410,APOLLO COMPUTER INC,1939,HP discontinues ops under name,1,13200000000,,1824,0.7433980107307430,-1.2454240322113000,,19,7,1,1,Thomas A. Vanderslice,2,1,1,1,1,0,0,0,0
1993,"Aries Research, Inc.",11,11,,,,,1989,,0,1750000,17,94538,0.6550359725952150,-2.1287999153137200,,2,1,1,0,Lawrence T. Kou,0,0,0,0,0,0,0,0,0
1994,"Aries Research, Inc.",11,11,,,,,1989,,0,3500000,17,94538,0.6550359725952150,-2.1287999153137200,,2,1,1,0,Lawrence T. Kou,0,0,0,0,0,0,0,0,0
1995,"Aries Research, Inc.",11,11,,,,,1989,,0,7000000,17,94538,0.6550359725952150,-2.1287999153137200,,5,1,1,0,Lawrence T. Kou,0,0,0,0,0,0,0,0,0
1996,"Aries Research, Inc.",11,11,,,,,1989,,0,8000000,25,94538,0.6550359725952150,-2.1287999153137200,,4,1,1,0,Lawrence T. Kou,0,0,0,0,0,0,0,0,0
1986,"Artecon, Inc.",12,12,,,,,1984,,0,1900000,32,92008,0.5787550210952760,-2.0477070808410600,,1,2,0,1,James L. Lambert,2,0,0,1,0,0,0,0,0
1987,"Artecon, Inc.",12,12,,,,,1984,,0,3400000,32,92008,0.5787550210952760,-2.0477070808410600,,1,2,0,1,James L. Lambert,2,0,0,1,0,0,0,0,0
1988,"Artecon, Inc.",12,12,,,,,1984,,0,4900000,35,92008,0.5787550210952760,-2.0477070808410600,,1,2,0,1,James L. Lambert,2,0,0,1,0,0,0,0,0
1989,"Artecon, Inc.",12,12,,,,,1984,Switched to peripheral market,1,10000000,35,92008,0.5787550210952760,-2.0477070808410600,,1,2,0,1,James L. Lambert,2,0,0,1,0,0,0,0,0
1990,ASC systems,13,13,,,,,1977,,0,1,,48081,0.7416840195655820,-1.4468770027160600,,8,7,1,1,Tom Liston,0,0,0,0,1,0,0,0,0
1991,ASC systems,13,13,,,,,1977,,0,1,,48081,0.7416840195655820,-1.4468770027160600,,7,7,1,1,Tom Liston,0,0,0,0,1,0,0,0,0
1992,ASC systems,13,13,,,,,1977,,0,1,,48080,0.7411270141601560,-1.4468899965286300,,9,6,1,1,Tom Liston,0,0,0,0,0,0,0,0,0
1993,ASC systems,13,13,,,,,1977,,0,1,,48080,0.7411270141601560,-1.4468899965286300,,11,6,1,1,Tom Liston,0,0,0,0,0,0,0,0,0
1994,ASC systems,13,13,,,,,1977,,0,1,,48080,0.7411270141601560,-1.4468899965286300,,11,5,1,1,Tom Liston,0,0,0,0,0,0,0,0,0
1995,ASC systems,13,13,,,,,1977,,0,1,,48080,0.7411270141601560,-1.4468899965286300,,8,4,1,1,Tom Liston,0,0,0,0,0,0,0,0,0
1996,ASC systems,13,13,,,,,1977,,0,1,,48080,0.7411270141601560,-1.4468899965286300,,9,4,1,1,Tom Liston,0,0,0,0,0,0,0,0,0
1995,"Aspen Systems, Inc.",14,14,,,,,1993,,0,12000000,12,80033,0.6941879987716680,-1.8342740535736100,,4,1,1,0,Steve Spring,2,0,0,0,0,0,0,0,0
1996,"Aspen Systems, Inc.",14,14,,,,,1993,,0,12000000,12,80033,0.6941879987716680,-1.8342740535736100,,8,1,1,0,Steve Spring,2,0,0,0,0,0,0,0,0
1995,AT&T Global Information Solutions,15,15,,,,,1880,,0,67156000768,308700,45479,0.6933050155639650,-1.4694139957428000,,77,11,1,1,Jerre Stead,2,0,1,1,1,1,0,0,0
1996,AT&T Global Information Solutions,15,15,,,,,1880,,0,74999996416,300000,45479,0.6933050155639650,-1.4694139957428000,,39,11,1,1,Lars Nyberg,2,0,1,1,1,1,0,0,0
1990,AT&T Pixel Machines,16,16,,,,,1986,,0,10000000,100,8873,0.706870973110199,-1.3002920150756800,,1,1,1,1,Kathryn M. Sullivan,2,0,1,1,1,1,0,0,1
1991,AT&T Pixel Machines,16,16,,,,,1986,,0,10000000,100,8873,0.706870973110199,-1.3002920150756800,,1,1,1,1,Kathryn M. Sullivan,2,0,1,1,1,1,0,0,1
1992,AT&T Pixel Machines,16,16,,,,,1986,,0,10000000,100,8873,0.706870973110199,-1.3002920150756800,,1,1,1,1,Kathryn M. Sullivan,2,0,1,1,1,1,1,0,1
1989,Atari,17,17,,,,,1984,,0,423606016,,94088,0.6518840193748470,-2.129910945892330,24613000,0,2,1,1,Michael Rosenberg,1,0,0,0,0,0,0,0,0
1990,Atari,17,17,,,,,1984,,0,218079008,1780,94088,0.6518840193748470,-2.129910945892330,22875000,6,2,1,1,Sam Tramiel,1,0,0,0,0,0,0,0,0
1991,Atari,17,17,,,,,1984,,0,135735008,1780,94088,0.6518840193748470,-2.129910945892330,15333000,9,2,1,1,Sam Tramiel,1,0,0,0,0,0,0,0,0
1992,Atari,17,17,,,,,1984,,0,75131000,270,94088,0.6518840193748470,-2.129910945892330,9171000,12,2,1,1,Sam Tramiel,1,0,0,0,0,0,0,0,0
1993,Atari,17,17,,,,,1984,,1,19299000,133,94088,0.6518840193748470,-2.129910945892330,4876000,8,2,1,1,Sam Tramiel,1,0,0,0,0,0,0,0,0
1984,"Audre, Inc.",18,18,5090410,AUDRE RECOGNITION SYS INC,5090410,AUDRE RECOGNITION SYS INC,1983,,0,1900000,11,92660,0.5869550108909610,-2.0573179721832300,,1,3,0,1,Thomas Casey,0,0,0,0,0,0,0,0,0
1985,"Audre, Inc.",18,18,5090410,AUDRE RECOGNITION SYS INC,5090410,AUDRE RECOGNITION SYS INC,1983,,0,867409.9375,15,92660,0.5869550108909610,-2.0573179721832300,,1,2,0,1,Thomas Casey,0,0,0,0,0,0,0,0,0
1986,"Audre, Inc.",18,18,5090410,AUDRE RECOGNITION SYS INC,5090410,AUDRE RECOGNITION SYS INC,1983,,0,396333,20,92660,0.5869550108909610,-2.0573179721832300,723928,1,1,0,1,Thomas Casey,0,0,0,0,0,0,0,0,0
1987,"Audre, Inc.",18,18,5090410,AUDRE RECOGNITION SYS INC,5090410,AUDRE RECOGNITION SYS INC,1983,,0,1274180,20,92127,0.5764449834823610,-2.0435290336608900,534511,1,1,0,1,Thomas Casey,0,0,0,0,0,0,0,0,0
1988,"Audre, Inc.",18,18,5090410,AUDRE RECOGNITION SYS INC,5090410,AUDRE RECOGNITION SYS INC,1983,,0,870763,20,92127,0.5764449834823610,-2.0435290336608900,384237,1,1,0,1,Thomas Casey,1,0,0,0,0,0,0,0,0
1989,"Audre, Inc.",18,18,5090410,AUDRE RECOGNITION SYS INC,5090410,AUDRE RECOGNITION SYS INC,1983,,0,1110731,20,92127,0.5764449834823610,-2.0435290336608900,558797,1,1,0,1,Thomas Casey,1,0,0,0,0,0,0,0,0
1990,"Audre, Inc.",18,18,5090410,AUDRE RECOGNITION SYS INC,5090410,AUDRE RECOGNITION SYS INC,1983,,0,1393812,29,92127,0.5764449834823610,-2.0435290336608900,335137,1,1,0,1,Thomas Casey,1,0,0,0,0,0,0,0,0
1991,"Audre, Inc.",18,18,5090410,AUDRE RECOGNITION SYS INC,5090410,AUDRE RECOGNITION SYS INC,1983,,0,670724,26,92127,0.5764449834823610,-2.0435290336608900,294877,1,1,0,1,Thomas Casey,1,0,0,0,0,0,0,0,0
1992,"Audre, Inc.",18,18,5090410,AUDRE RECOGNITION SYS INC,5090410,AUDRE RECOGNITION SYS INC,1983,Switched to software only,1,845195,33,92127,0.5764449834823610,-2.0435290336608900,521826,1,1,0,1,Thomas Casey,1,0,0,0,0,0,0,0,0
1981,Auto-trol Technology Corp.,19,19,5275420,AUTO-TROL TECHNOLOGY CORP,5275410,AUTO-TROL TECHNOLOGY CORP,1962,,0,46287000,539,80233,0.6964079737663270,-1.831866979599000,7956000,0,1,0,1,E. Joseph Zemke,1,0,0,1,0,0,0,0,0
1982,Auto-trol Technology Corp.,19,19,5275420,AUTO-TROL TECHNOLOGY CORP,5275410,AUTO-TROL TECHNOLOGY CORP,1962,,0,43990000,564,80233,0.6964079737663270,-1.831866979599000,8102000,0,1,0,1,E. Joseph Zemke,1,0,0,1,0,0,0,0,0
1983,Auto-trol Technology Corp.,19,19,5275420,AUTO-TROL TECHNOLOGY CORP,5275410,AUTO-TROL TECHNOLOGY CORP,1962,,0,54129000,579,80233,0.6964079737663270,-1.831866979599000,8345000,0,1,0,1,E. Joseph Zemke,1,0,0,1,0,0,0,0,0
1984,Auto-trol Technology Corp.,19,19,5275420,AUTO-TROL TECHNOLOGY CORP,5275410,AUTO-TROL TECHNOLOGY CORP,1962,,0,68927000,666,80233,0.6964079737663270,-1.831866979599000,8464000,0,1,0,1,E. Joseph Zemke,1,0,0,1,0,0,0,0,0
1985,Auto-trol Technology Corp.,19,19,5275420,AUTO-TROL TECHNOLOGY CORP,5275410,AUTO-TROL TECHNOLOGY CORP,1962,,0,65360000,672,80233,0.6964079737663270,-1.831866979599000,10037000,0,1,0,1,E. Joseph Zemke,1,0,0,1,0,0,0,0,0
1986,Auto-trol Technology Corp.,19,19,5275420,AUTO-TROL TECHNOLOGY CORP,5275410,AUTO-TROL TECHNOLOGY CORP,1962,,0,62358000,631,80233,0.6964079737663270,-1.831866979599000,9198000,0,1,0,1,Howard B. Hillman,1,0,0,1,0,0,0,0,0
1987,Auto-trol Technology Corp.,19,19,5275420,AUTO-TROL TECHNOLOGY CORP,5275410,AUTO-TROL TECHNOLOGY CORP,1962,"Continue as software, custom",1,71764000,700,80233,0.6964079737663270,-1.831866979599000,8483000,0,2,0,1,Howard B. Hillman,1,0,0,1,0,0,0,0,0
1990,"Autographix, Inc.",20,20,,,,,1981,,0,1,130,2154,0.7397140264511110,-1.2433120012283300,,5,3,0,1,Wes Davis,0,0,0,1,0,0,0,0,0
1991,"Autographix, Inc.",20,20,,,,,1981,,0,1,130,1803,0.7419210076332090,-1.2426819801330600,,7,2,0,1,Wes Davis,0,0,0,1,0,0,0,0,0
1992,"Autographix, Inc.",20,20,,,,,1981,Stayed in slide service market,1,1,130,1803,0.7419210076332090,-1.2426819801330600,,7,3,0,1,Wes Davis,0,0,0,1,0,0,0,0,0
1993,"Axil Computer, Inc.",21,21,,,,,1991,,0,1200000000,15000,95134,0.6529970169067380,-2.1283140182495100,,5,1,1,0,C. S. Park,2,0,0,0,0,0,0,0,0
1994,"Axil Computer, Inc.",21,21,,,,,1991,,0,1200000000,15000,95134,0.6529970169067380,-2.1283140182495100,,7,1,1,0,C. S. Park,2,0,0,0,0,0,0,0,0
1995,"Axil Computer, Inc.",21,21,,,,,1991,,0,60000002048,15000,95054,0.6526600122451780,-2.128498077392580,,8,1,1,0,C. S. Park,2,0,0,0,0,0,0,0,0
1996,"Axil Computer, Inc.",21,21,,,,,1991,,0,60000002048,15000,95054,0.6526600122451780,-2.128498077392580,,9,1,1,0,In Baik Jeon,2,0,0,0,0,0,0,0,0
1992,Aydin Controls,22,22,5468110,AYDIN CORP,5468110,AYDIN CORP,1967,,0,145220992,350,19034,0.7005500197410580,-1.312525987625120,5275000,13,3,0,1,James S. Walsh,2,0,0,0,1,0,0,0,0
1993,Aydin Controls,22,22,5468110,AYDIN CORP,5468110,AYDIN CORP,1967,,0,141475008,350,19034,0.7005500197410580,-1.312525987625120,4782000,3,4,0,1,Ayhan Hakimoglu,2,0,0,0,1,1,0,0,0
1994,Aydin Controls,22,22,5468110,AYDIN CORP,5468110,AYDIN CORP,1967,,0,142440992,200,19034,0.7005500197410580,-1.312525987625120,5159000,10,4,0,1,Ayhan Hakimoglu,2,0,0,0,1,1,0,0,0
1995,Aydin Controls,22,22,5468110,AYDIN CORP,5468110,AYDIN CORP,1967,,0,140607008,200,19034,0.7005500197410580,-1.312525987625120,6603000,15,4,0,1,Ayhan Hakimoglu,2,0,0,0,0,1,0,0,0
1996,Aydin Controls,22,22,5468110,AYDIN CORP,5468110,AYDIN CORP,1967,,1,138796608,,19034,0.7005500197410580,-1.312525987625120,,9,6,0,1,Ayhan Hakimoglu,2,0,0,0,0,1,0,0,0
1991,"Aztek, Inc.",23,23,,,,,1979,,0,5000000,20,92718,0.5874459743499760,-2.054452896118160,,3,2,0,1,Phillip Lippicott,0,0,0,1,0,0,0,0,0
1992,"Aztek, Inc.",23,23,,,,,1979,,0,5000000,20,92718,0.5874459743499760,-2.054452896118160,,3,2,0,1,Phillip Lippicott,0,0,0,1,0,0,0,0,0
1993,"Aztek, Inc.",23,23,,,,,1979,,0,5000000,20,92718,0.5874459743499760,-2.054452896118160,,6,3,0,1,Phillip Lippincott,0,0,0,1,0,0,0,0,0
1994,"Aztek, Inc.",23,23,,,,,1979,,0,5000000,26,92718,0.5874459743499760,-2.054452896118160,,5,2,0,1,Phillip Lippincott,0,0,0,1,0,0,0,0,0
1995,"Aztek, Inc.",23,23,,,,,1979,,0,5000000,26,92718,0.5874459743499760,-2.054452896118160,,5,2,0,1,Phillip Lippincott,0,0,0,0,1,0,0,0,0
1996,"Aztek, Inc.",23,23,,,,,1979,,1,4000000,26,92718,0.5874459743499760,-2.054452896118160,,5,2,0,1,Phillip Lippincott,0,0,0,0,1,0,0,0,0
1986,"Azuray, Inc.",24,24,,,,,1983,,0,3000000,25,95056,0.6519230008125310,-2.128448963165280,,0,1,0,1,William F. Fenley,0,0,0,0,0,0,0,0,0
1987,"Azuray, Inc.",24,24,,,,,1983,,0,4000000,35,95056,0.6519230008125310,-2.128448963165280,,0,1,0,1,William F. Fenley,0,0,0,0,0,0,0,0,0
1988,"Azurey, Inc.",24,24,,,,,1983,,1,4000000,35,95056,0.6519230008125310,-2.128448963165280,,0,1,0,1,William F. Fenley,0,0,0,0,0,0,0,0,0
1992,"Barco Chromatics, Inc.",26,26,,,,,1976,,0,10000000,,30084,0.5909159779548650,-1.4698469638824500,,6,2,0,1,Terence D. Hughey,2,0,1,1,0,0,0,0,0
1993,"Barco Chromatics, Inc.",26,26,,,,,1976,,0,10000000,125,30144,0.5939120054245000,-1.4766299724578900,,6,2,0,1,Luc Vandenbroucke,2,0,1,1,0,0,0,0,0
1994,"Barco Chromatics, Inc.",26,26,,,,,1976,,0,10000000,125,30084,0.5909159779548650,-1.4698469638824500,,7,2,0,1,Luc Vandenbroucke,2,0,1,1,0,0,0,0,0
1995,"Barco Chromatics, Inc.",26,26,,,,,1976,,0,10000000,85,30084,0.5909159779548650,-1.4698469638824500,,4,1,0,1,H. D. Scott,2,0,0,1,0,0,0,0,0
1996,"Barco Chromatics, Inc.",26,26,,,,,1976,,0,15000000,78,30084,0.5909159779548650,-1.4698469638824500,,6,1,0,1,H. D. Scott,2,0,0,1,0,0,0,0,0
1994,"Barco Graphics, Inc.",27,27,,,,,1989,,0,325000000,,45377,0.6961820125579830,-1.4696060419082600,,5,1,0,1,,2,0,0,1,0,0,0,0,0
1995,"Barco Graphics, Inc.",27,27,,,,,1989,,0,325000000,46,45377,0.6961820125579830,-1.4696060419082600,,5,1,0,1,,2,0,0,1,0,0,0,0,0
1996,"Barco Graphics, Inc.",27,27,,,,,1989,,1,325000000,65,45377,0.6961820125579830,-1.4696060419082600,,5,2,0,1,,2,0,0,1,0,0,0,0,0
1987,Bedford Computer Corp.,28,28,,,,,1975,Went into Chapter 11,0,9300000,75,3053,0.7481449842453000,-1.2457669973373400,,0,2,0,1,"Walter A. Alderman, Jr.",0,0,0,1,0,0,0,0,0
